sequence name	1st pair part	acceptance	active refusal	passive refusal
SKÄS	KÄS	TOTN	TOTS	EST
STIP	TIP	TIA+	TIA-	EST
STIP	TIP	TIA+	TOR	
STIPB	TIPB	TIAB+	TIAB-	EST
STIPC	TIPC	SEL	TORB	TOR
STIPC	TIPC	SEL	TORB	TOR
STIPC	TIPD	SEL	TORB	TOR
STIPC	TIPE	SEL	TORB	TOR
STOP	TOP	TTN	TTS	EST
STOPB	TOPB	TTN	TTS	EST
SKAN	KAN	SAM-KAN	ERI-KAN	EST
STOI	TOI	TOTN	TOTS	EST
SJSK	EVA	MYÖB	EST	
SKOR	KOA	TOI	TOI	EST
SKORB	KOB	KOBV	KOBV	EST
SVÄI	VÄI	MYÖ	KII	EST
SVVÄI	VÄIB	MYÖ	KII	EST
STOE	TOE	TOTN	TOTS	EST
STOE	TOEP	TOTNP	TOTNS	EST
STOE	TOEB	TOTN	TOTS	EST
SJPM	KAN			
SJTK	JTK			
STER	TER	TER	TER	TER
SEST	EST			
STII	TII	SEL		
STII	TIIB	SEL		
STII	TIIC	SEL		
SYLL	YLL	VYL	TORB	EST
SKYS	KYS	VSM	VSK	EST
SPVT	PVT	PVK		
SMMU	MMU	MMK		
